,Number_#,Name,Realise_year,Certificate,Genre,Rating
0,['1.'],['Red Dead Redemption II'],['(2018 Video Game)'],['18+'],"['\nAction, Adventure, Crime            ']",['9.7']
1,['2.'],['Одни из нас'],['(2013 Video Game)'],['18+'],"['\nAction, Adventure, Drama            ']",['9.7']
2,['3.'],['Red Dead Redemption'],['(2010 Video Game)'],"['\nAction, Adventure, Crime            ']",[],['9.4']
3,['4.'],['Wanda to kyozô'],['(2005 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.2']
4,['5.'],['The Elder Scrolls V: Skyrim'],['(2011 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.3']
5,['6.'],['Horizon Zero Dawn'],['(2017 Video Game)'],"['\nAction, Adventure, Sci-Fi            ']",[],['8.9']
6,['7.'],['Silent Hill 2'],['(2001 Video Game)'],['18+'],"['\nDrama, Horror, Mystery            ']",['9.4']
7,['8.'],['Disco Elysium'],['(2019 Video Game)'],"['\nComedy, Crime, Drama            ']",[],['9.1']
8,['9.'],['God of War: Ragnarök'],['(2022 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.6']
9,['10.'],['Persona 4 Golden'],['(2012 Video Game)'],"['\nAction, Adventure, Comedy            ']",[],['9.1']
10,['11.'],['Persona 5'],['(2016 Video Game)'],['16+'],"['\nAction, Adventure, Comedy            ']",['9.2']
11,['12.'],['Chrono Trigger'],['(1995 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.4']
12,['13.'],['Ghost of Tsushima'],['(2020 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.2']
13,['14.'],['Mass Effect 2'],['(2010 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.5']
14,['15.'],['Journey'],['(2012 Video Game)'],"['\nAdventure, Fantasy            ']",[],['8.5']
15,['16.'],['What Remains of Edith Finch'],['(2017 Video Game)'],"['\nAdventure, Drama, Mystery            ']",[],['8.6']
16,['17.'],['God of War'],['(2018 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.5']
17,['18.'],['Grand Theft Auto V'],['(2013 Video Game)'],['18+'],"['\nAction, Crime, Drama            ']",['9.5']
18,['19.'],['The Walking Dead: The Game - Season 1'],['(2012 Video Game)'],"['\nDrama, Horror, Sci-Fi            ']",[],['9.2']
19,['20.'],['Uncharted 2: Среди воров'],['(2009 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.3']
20,['21.'],['Ведьмак 3: Дикая Охота'],['(2015 Video Game)'],['18+'],"['\nAction, Adventure, Drama            ']",['9.6']
21,['22.'],['Spec Ops: The Line'],['(2012 Video Game)'],"['\nAction, Drama, Mystery            ']",[],['8.4']
22,['23.'],['BioShock'],['(2007 Video Game)'],"['\nAction, Adventure, Horror            ']",[],['9.1']
23,['24.'],['Batman: Аркхем Сити'],['(2011 Video Game)'],"['\nAction, Crime, Mystery            ']",[],['9.4']
24,['25.'],['Fallout: New Vegas'],['(2010 Video Game)'],"['\nAction, Adventure, Sci-Fi            ']",[],['8.9']
25,['26.'],"[""Monkey Island 2: LeChuck's Revenge""]",['(1991 Video Game)'],"['\nAdventure, Comedy, Fantasy            ']",[],['9.2']
26,['27.'],['Grand Theft Auto IV'],['(2008 Video Game)'],"['\nAction, Crime, Drama            ']",[],['8.9']
27,['28.'],['Uncharted 4: Путь вора'],['(2016 Video Game)'],['18+'],"['\nAction, Adventure, Drama            ']",['9.4']
28,['29.'],['Лос-Анджелесский нуар'],['(2011 Video Game)'],['18+'],"['\nAction, Crime, Drama            ']",['8.7']
29,['30.'],['Bloodborne'],['(2015 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.3']
30,['31.'],['Danganronpa 2: Goodbye Despair'],['(2012 Video Game)'],"['\nAdventure, Mystery, Thriller            ']",[],['8.5']
31,['32.'],['Heavy Rain'],['(2010 Video Game)'],"['\nCrime, Drama, Mystery            ']",[],['8.8']
32,['33.'],['The Elder Scrolls IV: Oblivion'],['(2006 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['8.9']
33,['34.'],['Одни из нас. Часть II'],['(2020 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['8.8']
34,['35.'],['Hotline Miami'],['(2012 Video Game)'],"['\nAction, Crime, Horror            ']",[],['8.3']
35,['36.'],['Uncharted 3: Иллюзии Дрейка'],['(2011 Video Game)'],['18+'],"['\nAction, Adventure, Fantasy            ']",['9']
36,['37.'],['NieR: Automata'],['(2017 Video Game)'],['16+'],"['\nAction, Adventure, Drama            ']",['8.8']
37,['38.'],['Dead Space 2'],['(2011 Video Game)'],"['\nAction, Horror, Sci-Fi            ']",[],['8.8']
38,['39.'],['BioShock Infinite'],['(2013 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.1']
39,['40.'],['Fainaru fantajî VII'],['(1997 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.5']
40,['41.'],['Nier Replicant'],['(2010 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['8.4']
41,['42.'],['Brothers: A Tale of Two Sons'],['(2013 Video Game)'],"['\nAdventure, Drama, Fantasy            ']",[],['8.2']
42,['43.'],['Danganronpa: Trigger Happy Havoc'],['(2010 Video Game)'],"['\nAdventure, Family, Mystery            ']",[],['8.2']
43,['44.'],['Bastion'],['(2011 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['7.9']
44,['45.'],['Fable II'],['(2008 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['8.2']
45,['46.'],['Dragon Age: Начало'],['(2009 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.1']
46,['47.'],['Дурная репутация 2'],['(2011 Video Game)'],['18+'],"['\nAction, Adventure, Fantasy            ']",['8.4']
47,['48.'],['Half-Life 2'],['(2004 Video Game)'],"['\nAction, Adventure, Sci-Fi            ']",[],['9.4']
48,['49.'],['LittleBigPlanet 2'],['(2011 Video Game)'],"['\nAdventure, Fantasy            ']",[],['8.2']
49,['50.'],['Silent Hill 3'],['(2003 Video Game)'],"['\nDrama, Horror, Mystery            ']",[],['8.6']
50,['51.'],['Elden Ring'],['(2022 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.4']
51,['52.'],['Day of the Tentacle'],['(1993 Video Game)'],"['\nAdventure, Comedy, Sci-Fi            ']",[],['9']
52,['53.'],['Обитель зла 4'],['(2005 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.2']
53,['54.'],"[""Assassin's Creed II""]",['(2009 Video Game)'],['12+'],"['\nAction, Adventure, History            ']",['9']
54,['55.'],['Planescape: Torment'],['(1999 Video Game)'],"['\nAdventure, Drama, Fantasy            ']",[],['9.4']
55,['56.'],['Portal 2'],['(2011 Video Game)'],['12+'],"['\nAdventure, Comedy, Sci-Fi            ']",['9.4']
56,['57.'],['God of War III'],['(2010 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.1']
57,['58.'],['God of War: Ghost of Sparta'],['(2010 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['8.4']
58,['59.'],['Machinarium'],['(2009 Video Game)'],"['\nAdventure, Family, Mystery            ']",[],['8.1']
59,['60.'],['Fallout 3'],['(2008 Video Game)'],"['\nAction, Adventure, Sci-Fi            ']",[],['9.1']
60,['61.'],['God of War II'],['(2007 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.2']
61,['62.'],['Zeruda no densetsu: Buresu obu za wairudo'],['(2017 Video Game)'],['12+'],"['\nAction, Adventure, Fantasy            ']",['9.4']
62,['63.'],['Metal Gear Solid 2: Sons of Liberty'],['(2001 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9']
63,['64.'],['Batman: Arkham Asylum'],['(2009 Video Game)'],"['\nAction, Crime, Mystery            ']",[],['9.1']
64,['65.'],['Life Is Strange'],['(2015 Video Game)'],"['\nAdventure, Drama, Mystery            ']",[],['8.9']
65,['66.'],['Final Fantasy VII Remake'],['(2020 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9']
66,['67.'],['Control'],['(2019 Video Game)'],"['\nAction, Adventure, Horror            ']",[],['8.2']
67,['68.'],['Deus Ex: Human Revolution'],['(2011 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['8.6']
68,['69.'],['Mass Effect'],['(2007 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.1']
69,['70.'],['Dead Space'],['(2008 Video Game)'],"['\nAction, Horror, Mystery            ']",[],['8.8']
70,['71.'],['Внутри'],['(2016 Video Game)'],"['\nAdventure, Horror, Mystery            ']",[],['8.8']
71,['72.'],['Star Wars: Knights of the Old Republic II - The Sith Lords'],['(2004 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['8.9']
72,['73.'],['Mass Effect 3'],['(2012 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.1']
73,['74.'],['Grim Fandango'],['(1998 Video Game)'],"['\nAdventure, Comedy, Crime            ']",[],['9.2']
74,['75.'],['Super Mario Galaxy 2'],['(2010 Video Game)'],"['\nAction, Adventure, Family            ']",[],['9']
75,['76.'],['Hotline Miami 2: Wrong Number'],['(2015 Video Game)'],"['\nAction, Crime, Horror            ']",[],['8.1']
76,['77.'],['Kingdom Hearts II'],['(2005 Video Game)'],"['\nAction, Adventure, Family            ']",[],['9.3']
77,['78.'],['Deus Ex'],['(2000 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.2']
78,['79.'],['Metal Gear Solid 3: Snake Eater'],['(2004 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.5']
79,['80.'],['The Walking Dead: The Game - Season 2'],['(2013 Video Game)'],"['\nDrama, Horror, Thriller            ']",[],['8.7']
80,['81.'],['Fallout 2: A Post-Nuclear Role-Playing Game'],['(1998 Video Game)'],"['\nAction, Adventure, Sci-Fi            ']",[],['9.4']
81,['82.'],['Dragon Age: Инквизиция'],['(2014 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['8.5']
82,['83.'],['Ryû ga gotoku Zero: Chikai no basho'],['(2015 Video Game)'],"['\nAction, Crime, Drama            ']",[],['8.9']
83,['84.'],['Vampire: The Masquerade - Bloodlines'],['(2004 Video Game)'],"['\nAction, Drama, Fantasy            ']",[],['9.1']
84,['85.'],['BioShock 2'],['(2010 Video Game)'],"['\nAction, Adventure, Horror            ']",[],['8.2']
85,['86.'],['The Secret of Monkey Island'],['(1990 Video Game)'],"['\nAdventure, Comedy, Fantasy            ']",[],['9.3']
86,['87.'],['Metal Gear Solid 4: Guns of the Patriots'],['(2008 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['9.4']
87,['88.'],['Tomb Raider'],['(2013 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['8.7']
88,['89.'],['XCOM: Enemy Unknown'],['(2012 Video Game)'],"['\nAction, Sci-Fi, Thriller            ']",[],['8.3']
89,['90.'],['Dark Souls'],['(2011 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['9.1']
90,['91.'],['The Wolf Among Us'],['(2013 Video Game)'],"['\nAction, Crime, Drama            ']",[],['8.9']
91,['92.'],['Half-Life 2: Episode Two'],['(2007 Video Game)'],"['\nAction, Adventure, Sci-Fi            ']",[],['9.1']
92,['93.'],['Spider-Man'],['(2018 Video Game)'],['18+'],"['\nAction, Adventure, Fantasy            ']",['9.2']
93,['94.'],['Super Mario Galaxy'],['(2007 Video Game)'],"['\nAction, Adventure, Family            ']",[],['9.1']
94,['95.'],['Cuphead'],['(2017 Video Game)'],['16+'],"['\nAction, Adventure, Comedy            ']",['8.7']
95,['96.'],['Metal Gear Solid V: The Phantom Pain'],['(2015 Video Game)'],"['\nAction, Adventure, Drama            ']",[],['8.8']
96,['97.'],['Borderlands 2'],['(2012 Video Game)'],"['\nAction, Adventure, Comedy            ']",[],['8.6']
97,['98.'],['Dishonored'],['(2012 Video Game)'],"['\nAction, Adventure, Fantasy            ']",[],['8.4']
98,['99.'],['It Takes Two'],['(2021 Video Game)'],"['\nAdventure, Comedy, Drama            ']",[],['9.1']
99,['100.'],['Kane & Lynch 2: Dog Days'],['(2010 Video Game)'],"['\nAction, Crime, Drama            ']",[],['6.3']
